The reason for which I couldn't attend the meeting was a family emergency.,La razón por la cual no pude asistir a la reunión fue una emergencia familiar.,09/25/2024 01:00:00,5,UNSEEN
"A few minutes ago, I received an important call.","Hace unos minutos, recibí una llamada importante.",09/25/2024 01:00:00,5,UNSEEN
A new problem has appeared in the project.,Ha aparecido un nuevo problema en el proyecto.,09/25/2024 01:00:00,5,UNSEEN
"After finishing the exams, I decided to unleash my creativity.","Después de terminar los exámenes, decidí dar rienda suelta a mi creatividad.",09/25/2024 01:00:00,5,UNSEEN
"After he goes to another office, we will meet.","Después de que vaya a otra oficina, nos reuniremos.",09/25/2024 01:00:00,5,UNSEEN
"After overcoming his fears, he no longer cared about what others might think.","Después de superar sus miedos, ya no le importaba qué pudieran pensar los demás.",09/25/2024 01:00:00,5,UNSEEN
"After playing, the son's mom will clean Max.","Después de jugar, la mamá del hijo limpiará a Max.",09/25/2024 01:00:00,5,UNSEEN
"After so many issues, I want to get rid of this already.","Después de tantos problemas, quiero quitarme ya esto de encima.",09/25/2024 01:00:00,5,UNSEEN
"After so much practice, I know it by heart now.","Después de tanto practicar, ahora lo sé de memoria.",09/25/2024 01:00:00,5,UNSEEN
"After the explanation, it's clear to me that we need to take action.","Después de la explicación, me queda claro que debemos actuar.",09/25/2024 01:00:00,5,UNSEEN
"After the sale, only a few units were left.","Después de la venta, solo quedaban algunas unidades.",09/25/2024 01:00:00,5,UNSEEN
"After trying it several times, he realized it was pointless to continue.","Luego de intentarlo varias veces, se dio cuenta de que no tenía caso continuar.",09/25/2024 01:00:00,5,UNSEEN
All the students sang in unison during the school event.,Todos los estudiantes cantaron al unísono durante el evento escolar.,09/25/2024 01:00:00,5,UNSEEN
"Already in the early morning, we decided to go home.","Ya de madrugada, decidimos irnos a casa.",09/25/2024 01:00:00,5,UNSEEN
"Although in the background, his contribution was crucial.","Aunque estaba en segundo plano, su contribución fue crucial.",09/25/2024 01:00:00,5,UNSEEN
"Although we were already tired, we decided to walk even more to reach our destination.","Aunque ya estábamos cansados, decidimos caminar todavía más para llegar al destino.",09/25/2024 01:00:00,5,UNSEEN
"Apparently, he won't make it to the meeting on time.","Al parecer, no llegará a tiempo para la reunión.",09/25/2024 01:00:00,5,UNSEEN
"Are you going to quit? No way, I'm not even considering it!","¿Vas a renunciar? ¡Qué va, ni siquiera lo estoy considerando!",09/25/2024 01:00:00,5,UNSEEN
"As an artist, it's important to make oneself known in different places.","Como artista, es importante darse a conocer en diferentes lugares.",09/25/2024 01:00:00,5,UNSEEN
"As far as I know, the project is going well.","Hasta donde sé, el proyecto va bien.",09/25/2024 01:00:00,5,UNSEEN
"As for the project, there are some concerns.","En cuanto al proyecto, hay algunas preocupaciones.",09/25/2024 01:00:00,5,UNSEEN
"As I was saying before, the situation is complicated.","Como te comentaba antes, la situación es complicada.",09/25/2024 01:00:00,5,UNSEEN
"As part of my routine, I wake up at six every morning.","Como parte de mi rutina, me levanto a las seis todas las mañanas.",09/25/2024 01:00:00,5,UNSEEN
"As the day progressed, the heat became more intense.","Conforme avanzaba el día, el calor se volvía más intenso.",09/25/2024 01:00:00,5,UNSEEN
"As the holidays approached, excitement grew in the air.","Conforme se acercaban las vacaciones, la emoción crecía en el aire.",09/25/2024 01:00:00,5,UNSEEN
"At first, he didn't take the challenge seriously.","Al principio, no se había tomado en serio el desafío.",09/25/2024 01:00:00,5,UNSEEN
"At the conference, they also talked about advances in medical research.","En la conferencia, se hablaba también de los avances en la investigación médica.",09/25/2024 01:00:00,5,UNSEEN
"At the party, there were no shortage of fun moments.","En la fiesta, no faltaron los momentos divertidos.",09/25/2024 01:00:00,5,UNSEEN
"Before answering, he thinks about it for a minute.","Antes de responder, él lo piensa durante un minuto.",09/25/2024 01:00:00,5,UNSEEN
"Before going out, make sure to apply sunscreen.","Antes de salir, asegúrate de aplicar bloqueador solar.",09/25/2024 01:00:00,5,UNSEEN
"Before going out, she applied red lipstick to stand out.","Antes de salir, se aplicó lápiz labial rojo para destacar.",09/25/2024 01:00:00,5,UNSEEN
"Before going shopping, make a list of what you really need.","Antes de ir de compras, haz una lista de lo que realmente necesitas.",09/25/2024 01:00:00,5,UNSEEN
"Before making a decision, take it into account.","Antes de tomar una decisión, tenlo en cuenta.",09/25/2024 01:00:00,5,UNSEEN
"Before serving the wine, he took a sip to make sure it was good.","Antes de servir el vino, probó un sorbo para asegurarse de que estuviera bueno.",09/25/2024 01:00:00,5,UNSEEN
"Before sleeping, I always like to floss.","Antes de dormir, siempre me gusta pasarme hilo dental.",09/25/2024 01:00:00,5,UNSEEN
"Before you leave, can I ask you a quick question?","Antes de que te vayas, ¿puedo hacerte una pregunta rápida?",09/25/2024 01:00:00,5,UNSEEN
"Being punctual is a sign of respect, which translates into a more positive work environment.","Ser puntual es una muestra de respeto, lo que se traduce en un ambiente laboral más positivo.",09/25/2024 01:00:00,5,UNSEEN
Bright colors were mixed with softer tones in the painting.,Los colores brillantes se mezclados con tonos más suaves en la pintura.,09/25/2024 01:00:00,5,UNSEEN
"But of course, there are always options available.","Pero claro, siempre hay opciones disponibles.",09/25/2024 01:00:00,5,UNSEEN
"By making an effort, he managed to reach the top of the mountain.","Al hacer esfuerzo, logró alcanzar la cima de la montaña.",09/25/2024 01:00:00,5,UNSEEN
Can you make it even easier?,¿Puedes hacerlo más fácil todavía?,09/25/2024 01:00:00,5,UNSEEN
Cook the stew over low heat for it to be delicious.,Cocina el guiso a fuego lento para que quede sabroso.,09/25/2024 01:00:00,5,UNSEEN
Daily routine is part of everyday life.,La rutina diaria forma parte de la vida cotidiana.,09/25/2024 01:00:00,5,UNSEEN
"Deep down, we all want to be happy.","En el fondo, todos queremos ser felices.",09/25/2024 01:00:00,5,UNSEEN
Dental floss is crucial for maintaining good oral health.,El hilo dental es crucial para mantener una buena salud bucal.,09/25/2024 01:00:00,5,UNSEEN
"Despite being polar opposites in personality, they work well together as a team.","Aunque sean polos opuestos en personalidad, trabajan bien juntos como equipo.",09/25/2024 01:00:00,5,UNSEEN
"Despite the challenges being significant, he didn't want to give up.","Aunque las dificultades eran grandes, no se quería dar por vencido.",09/25/2024 01:00:00,5,UNSEEN
"Despite the explanation, he will keep thinking about the problem.","A pesar de la explicación, seguirá pensando en el problema.",09/25/2024 01:00:00,5,UNSEEN
"Despite the noise, he didn't even move; he was sound asleep.","A pesar del ruido, él ni se movió; estaba profundamente dormido.",09/25/2024 01:00:00,5,UNSEEN
"Despite the sadness, she held back the tears.","A pesar de la tristeza, aguantó las lágrimas.",09/25/2024 01:00:00,5,UNSEEN
